formula,space_group,formation_energy_per_atom
InBr3,Immm,-0.5541793780190627
InBr5,Amm2,-0.27121773593772264
Ba3Fe,P4/mmm,0.9129481272351261
AuNi,F-43m,0.9641375582202292
AuSr,Pm-3m,-0.7391766903276662
Ac4Br6,R-3c,-1.476718120044118
Ag4Al4,P1,-0.02051409215784261
Ni2P6,I4/mmm,0.34133070336043847
Sb4Ge2,Cmcm,0.28645702948921387
AlPd,P-6m2,-0.769562325120063
InSb,Fm-3m,-0.13041741716771016
Ba2Br4,I4/mcm,-2.1866423000315485
AlP2,I4/mmm,0.005681561847775167
Fe2Ga2,P4/nmm,0.047430564104895545
Cr6Ta18,Pmmn,0.2734942512328213
Cu6Pt5,P-1,-0.12212530591256089
K2Ge2,Imma,-0.14880172307051254
Ag2Na,Immm,-0.01216837202733038
Ni4Ta4,P2_13,0.002778304760214567
VGe3,P4/mmm,0.10486923033458151
W2As2,P4/nmm,0.3709171496726551
CrP7,Fm-3m,0.6510238187764203
Cu4Ni2,Fd-3m,0.21415438130916264
Fe4Mo16,I-43m,0.753637950687812
Ni3Np,Pm-3m,0.14013428638739356
NaI,F-43m,-1.3156962778764316
Au2P,I4/mmm,0.31165126681798877
GaP2,Fm-3m,0.4456024952488941
CuNi4,Im-3m,0.8709995730334945
BaTa3,P4/mmm,1.209436450673138
NiTa2,Fm-3m,0.3244954078270427
IrAs,Fm-3m,0.26673701603467315
Ge18P6,Pmmn,0.35694184657410943
Au12Sr17,I-43m,-0.34975685759716535
Mo2Nb2,Fd-3m,-0.0860738262660874
PaGe3,Fm-3m,-0.3479441991654255
TaGe4,I4/m,0.177546213788969
Pd2Rh2,P4/nmm,0.03351796864656187
K2As2,P4/nmm,0.38606071319509816
V3Br,I4/mmm,0.5547448324913553
Fe2Pb2,Fd-3m,1.216375423914755
K2As2,Imma,-0.3857350325807225
